full_code,soc_4,soc_sub,title,description
2234/01,2234,01,Mental health nurse practitioners ,"Mental health nurse practitioners are trained specialist nurses who work with individuals, families, groups, and communities. They assess mental health needs and develop a nursing diagnosis and plan of care. They undertake additional medical education to provide advanced nursing care, assess and diagnose patients, prescribe medication and refer patients to hospital doctors if required."
2234/99,2234,99,Nurse practitioners n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2234: Nurse practitioners
2235/00,2235,00,Registered mental health nurses ,"Registered mental health nurses support and care for people with a range of mental health conditions, in hospital and community settings, and help them towards recovery and management of their conditions."
2236/01,2236,01,Neonatal nurses,"Neonatal nurses care for newborn babies who are born premature or sick. They provide 24 hour care in acute hospitals and work shifts in intensive care, high dependency and special care baby units. Some nurses work in the community, providing continuing care and support for babies and their families who have been recently discharged from hospital. "
2236/02,2236,02,Paediatric nurses,"Paediatric nurses assess the nursing needs of children of all ages who are suffering from many different illnesses and conditions.
"
2236/03,2236,03,School nurses,"School nurses are qualified and registered nurses who work across education and health, providing a link between school, home and the community. Their aim is to improve the health and wellbeing of children and young people. They work with families and young people from five to nineteen and are usually linked to a school or group of schools."
2237/00,2237,00,Other registered nursing professionals,"Other registered nursing professionals provide general nursing care for the sick, injured and others in need of such care, assist medical doctors with their tasks and work with other healthcare professionals and within teams of healthcare workers in a variety of other professional nursing occupations not elsewhere classified in MINOR GROUP 223: Nursing Professionals."
2240/00,2240,00,Veterinarians,"Veterinarians diagnose and treat animal injuries, diseases and disorders, and advise on preventative action. They may work in practices, specialising according to their location in either a rural or urban area, or in the public sector or associated industries such as pharmaceuticals, food production or drug regulation."
2251/00,2251,00,Pharmacists,"Pharmacists dispense drugs and medicaments in hospitals and pharmacies and advise on and participate in the development and testing of new drugs, compounds and therapies. They counsel on the proper use and adverse effects of drugs and medicines."
2252/00,2252,00,Optometrists,"Ophthalmic opticians test patients’ vision, diagnose defects and disorders and prescribe glasses or contact lenses as required."
2253/01,2253,01,Dentists and dental surgeons,"Dentists and dental surgeons prevent, diagnose and treat anomalies and diseases affecting the teeth, mouth, jaws and adjoining tissues. Dental surgeons treat wisdom teeth, perform complex extractions and correct congenital growth defects"
2253/02,2253,02,Endodontists,Endodontist help patients maintain the health of their teeth. An endodontist is a dentist who has additional training and specialises in performing root canal treatment and diagnosing and treating tooth pain. 
2253/03,2253,03,Orthodontists,"Orthodontists examine, diagnose and treat dental malocclusions (crooked teeth) and oral cavity anomalies. They design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance."
2253/04,2253,04,Periodontists,"Periodontists are dentists who specialise in the prevention, diagnosis, and treatment of periodontal (the areas and tissues surrounding the teeth) disease, and in the placement of dental implants. Periodontists treat oral inflammation and train in performing cosmetic periodontal procedures."
2253/99,2253,99,Dental practitioners n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2253: Dental practitioners
2254/01,2254,01,Diagnostic radiographers and sonographers,"Diagnostic radiographers and sonographers plan, prepare and perform diagnostic imaging examinations and post processing, with a wide range of equipment and techniques using X-rays, strong magnetic fields or Magnetic Resonance Imaging (MRI) and high frequency sound (ultrasound)."
2254/02,2254,02,Therapeutic radiographers,"Therapeutic radiographers prepare and perform safe and accurate high-energy radiation treatments to patients, using a wide range of sophisticated equipment and techniques, to target the area to be treated. They also use computer planning to produce a plan of the dose distribution across the area to be treated."
2254/03,2254,03,Vascular scientists,"Vascular scientists use ultrasound and other non-invasive techniques to image and assess the blood flow of patients with diseases of the arteries and veins. They also help to diagnose a range of conditions, including strokes, varicose veins, and aneurysms."
2254/99,2254,99,Medical radiographers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2254: Medical radiographers
2255/00,2255,00,Paramedics,Paramedics provide first aid and life support treatment in emergency situations and transport sick and injured people who require skilled treatment.
2256/00,2256,00,Podiatrists,"Podiatrists (formerly known as chiropodists) diagnose and treat ailments and abnormalities of the human foot and lower limb, deal with minor infections, injuries and deformities, and conditions resulting from other major health disorders such as diabetes. See also 3219/04 - Foot health practitioners (excludes podiatrists)"
2259/01,2259,01,Audiologists,"Audiologists assess, diagnose and treat patients with audiological and vestibular disorders caused by infectious, genetic, traumatic or degenerative conditions, such as hearing loss, tinnitus, dizziness, imbalance, hyperacusis and auditory processing difficulties. They can prescribe a hearing aid and have a role in assessing and managing patients who may benefit from cochlear implants. "
2259/02,2259,02,Cardiac physiologists,"Cardiac physiologists analyse known and suspected heart disease. They carry out crucial diagnostic, monitoring and analytical procedures for patients with known or suspected heart disease and assist in interventional procedures."
2259/03,2259,03,Dietitians ,"Dietitians assess specific nutritional requirements of populations or individuals throughout their lives and translate this into advice which will maintain, reduce risk to, or restore people’s health. Using evidence-based approaches, dietitians work to empower individuals, families and groups to provide or select food which is nutritionally adequate, safe, tasty and sustainable. Beyond healthcare, dietitians improve the nutritional environment for all through governments, industry, academia and research."
2259/04,2259,04,Health promotion officers,"Health promotion officers provide and manage health education programs that help individuals, families and their communities maximise and maintain healthy lifestyles. "
2259/05,2259,05,Medical physicists and nuclear medicine scientists,"Medical physicists and nuclear medicine scientists research, develop, test and maintain specialist equipment used to help prevent, diagnose and treat many kinds of diseases and health conditions. Nuclear medicine is the use of radioactive substances (such as radiolabelled pharmaceuticals) to help diagnose and treat patients."
2259/06,2259,06,Mental health workers,"Mental health workers are qualified mental health professionals who work closely with people who are suffering from various mental health conditions to help them recover from their illness and improve their general quality of life. This role includes assessing patients, providing care/support, developing risk assessments, managing patient documents. See also 2461/04 - Mental health and healthcare social workers and 3229/07 - Mental health project workers."
2259/07,2259,07,Occupational health advisers,Occupational health advisers are leaders of public health and care in the workplace. They specialise in the care and wellbeing of people at work.
2259/08,2259,08,Operating department practitioners ,"Operating department practitioners are health care professionals who work in a surgery team and manage the preparation of the operating theatres. They act as the link between the surgical team and other parts of the operating theatre and hospital. Operating department practitioners support patients in the anaesthetic, surgery and recovery phases of an operation and assist the surgical team throughout procedures for example by providing the surgical team with the items they need during an operation and monitoring instruments, medical equipment and devices."
2259/09,2259,09,Orthotists and prosthetists ,"Orthotists and prosthetists design and custom fit prostheses and orthoses for individuals who are missing a limb from accident, disease or congenital conditions or for individuals who have impairments, deficiencies or weaknesses due to injury, pathology or congenital malformation. They mix patient care with the design and fabrication of these devices to address their patients' needs."
2259/10,2259,10,Respiratory physiologists,"Respiratory physiologists work directly with patients to deliver diagnostic tests of breathing and treatment of patients with lung disorders, such as asthma and cystic fibrosis. They are also involved with assessing patient’s fitness for surgery and other treatments."
2259/11,2259,11,Sexual health advisers,"Sexual health advisers promote good sexual health practices and provide information, advice and counselling to patients diagnosed with a sexually transmitted infection (STI). "
2259/99,2259,99,Other health professionals n.e.c. ,Job holders in this group perform occupations not elsewhere classified in Unit Group 2259: Other health professionals n.e.c. 
2311/00,2311,00,Higher education teaching professionals,"Higher education teaching professionals deliver lectures and teach students to at least first degree level, undertake research and write journal articles and books in their chosen field of study. "
2312/00,2312,00,Further education teaching professionals,"Further education teaching professionals supervise and teach trade, technical, commercial, adult education, secondary and post-secondary courses to students beyond minimum school leaving age. "
2313/01,2313,01,Teachers of art,"Teachers of art provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of art through assignments, tests and examinations."
2313/02,2313,02,Teachers of biology,"Teachers of biology provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of biology through assignments, tests and examinations."
2313/03,2313,03,Teachers of chemistry,"Teachers of chemistry provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of chemistry through assignments, tests and examinations."
2313/04,2313,04,Teachers of design technology,"Teachers of design technology provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of design technology through assignments, tests and examinations."
2313/05,2313,05,Teachers of drama,"Teachers drama provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of drama through assignments, tests and examinations."
2313/06,2313,06,Teachers of economics,"Teachers of economics provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of economics through assignments, tests and examinations."
2313/07,2313,07,Teachers of English,"Teachers of English provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of English through assignments, tests and examinations."
2313/08,2313,08,Teachers of geography,"Teachers of geography provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of geography through assignments, tests and examinations."
2313/09,2313,09,Teachers of history,"Teachers of history provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of history through assignments, tests and examinations."
2313/10,2313,10,Teachers of ICT and computer science,"Teachers of ICT and computer science Provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of ICT through assignments, tests and examinations."
2313/11,2313,11,Teachers of mathematics,"Teachers of mathematics provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of mathematics through assignments, tests and examinations."
2313/12,2313,12,Teachers of modern foreign languages,"Teachers of modern foreign languages provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of modern languages through assignments, tests and examinations."
2313/13,2313,13,Teachers of music,"Teachers of music provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of music through assignments, tests and examinations."
2313/14,2313,14,Teachers of physical education,"Teachers of physical education provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students’ progress, assist individually when necessary, and evaluate the students’ knowledge and performance on the subject of physical education through practical, usually physical, tests and examinations."
2313/15,2313,15,Teachers of physics,"Teachers of physics provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of physics through assignments, tests and examinations."
2313/16,2313,16,Teachers of psychology,"Teachers of psychology provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of psychology through assignments, tests and examinations."
2313/17,2313,17,Teachers of religious education,"Teachers of religious education provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of religion through assignments, tests and examinations."
2313/18,2313,18,Teachers of science,"Teachers of science provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of science through assignments, tests and examinations."
2313/19,2313,19,Teachers of sociology,"Teachers of sociology provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of sociology through assignments, tests and examinations."
2313/20,2313,20,Teachers of Welsh,"Teachers of Welsh provide education to students, commonly children and young adults, in a secondary school and sixth form settings. They are usually subject teachers, specialised and instructing in their own field of study. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of Welsh through assignments, tests and examinations."
2313/99,2313,99,Secondary education teaching professionals n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2313: Secondary education teaching professionals. 
2314/00,2314,00,Primary education teaching professionals,"Primary (and middle school deemed primary) and education teaching professionals plan, organise and provide instruction to children at all levels up to the age of entry into secondary education. "
2315/00,2315,00,Nursery education teaching professionals,Nursery education teaching professionals care for and teach children up to the age of entry into primary school.
2316/01,2316,01,Special and additional educational needs teachers and coordinators,"Special and additional educational needs teachers and coordinators work with and teach children, young people, and adults with an intellectual or physical disability. They use a range of specialised concepts, strategies and tools to optimise learners' communication, mobility, autonomy, and social integration. They select teaching methods and support resources to enable individual learners to maximise their potential for independent living."
2316/02,2316,02,Teachers of the deaf,"Teachers of the deaf are qualified teachers who have taken further training to teach children and young adults with hearing loss. They provide support to deaf and hearing impaired children and young adults, their parents and family, and to other professionals who are involved with a child’s education."
2316/03,2316,03,Teachers of the visually impaired,"Teachers of the visually impaired, teach children who have vision loss. They are typically a qualified special education teacher who has received certification and specialised training, in meeting the educational needs of students who are blind or have visual impairments. This is an instructional position, as opposed to a related service or vision therapy. "
2316/99,2316,99,Special and additional needs education teaching professionals n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2316: Special and additional education needs teaching professionals. 
2317/00,2317,00,Teachers of English as a Foreign Language,"Teachers of English as a foreign language teach students to speak and write the English language, either for the first time or building on their existing knowledge."
2319/01,2319,01,Adult education tutors,"Adult education tutors coordinate and teach programmes designed specifically for adult learners. Typical activities involve designing and teaching courses, liaising with further education authorities and following curriculum development."
2319/02,2319,02,Dance and drama school principals and owners,"Dance and drama teaching professionals in this group are owners/principles/lecturers that manage/own and teach in private drama and dancing schools, training centres and similar establishments. "
2319/03,2319,03,Private music and singing teachers,"Private music and singing teachers instruct students in various musical genres and expression forms, such as classical, jazz, folk, pop, blues, rock, electronic etc.  They assist students to experiment with different styles and techniques, through singing or with musical instruments. "
2319/04,2319,04,Private tutors,"Private tutors provide personalised education to children or to adults, in addition to the main education system. They help students improve their knowledge and competence of a specific subject, at their own pace. Private tutors will teach their students study techniques and strategies to ensure their academic development and will assess the student's progress throughout the tutoring sessions."
2319/99,2319,99,Teaching professionals n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2319: Teaching professionals n.e.c.
2321/01,2321,01,Heads of further education establishments,"Heads of further education establishments manage the day-to-day activities of a post-secondary education institute, such as technical institutes and other post-secondary schools. They make decisions concerning admissions and are responsible for meeting curriculum standards, which facilitate academic development for the students. They manage staff, the school's budget and programmes and oversee the communication between departments."
2321/02,2321,02,Heads of higher education establishments,"Heads of higher education establishments manage the day-to-day activities of higher education institutes, such as universities. Heads of higher education institutions make decisions concerning admissions and are responsible for meeting curriculum standards, which facilitate academic development for the students. They manage staff, the school's budget, campus programmes and oversee the communication between departments."
2321/03,2321,03,Heads of nursery schools,"Heads of nursery schools manage the day-to-day activities of a nursery school. They manage staff, make decisions concerning admissions and are responsible for meeting curriculum standards, which are age-appropriate for nursery school students and facilitate social and academic development education. "
2321/04,2321,04,Heads of primary schools,"Heads of primary schools manage the day-to-day activities of a primary school. They manage staff, make decisions concerning admissions and are responsible for meeting curriculum standards, which are age-appropriate for primary school students and facilitate social and academic development education. "
2321/05,2321,05,Heads of secondary schools and sixth form colleges,"Heads of secondary schools and sixth form colleges manage the day-to-day activities of secondary schools and sixth form colleges, and are responsible for meeting curriculum standards, which facilitate academic development for the students. They manage staff, working closely with the different department heads, and evaluate the subject teachers to secure optimal class performance."
2321/06,2321,06,Heads of special needs education schools,"Heads of special needs education schools manage the day-to-day activities of a special education school. They supervise and support staff, as well as research and introduce programs that provide the necessary assistance for students with physical, mental or learning disabilities. They may make decisions concerning admissions and are responsible for meeting curriculum standards"
2321/99,2321,99,Head teachers and principals n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2321: Head teachers and principals
2322/00,2322,00,Education managers ,"Education managers plan, organise, direct and co-ordinate the administration, support systems and activities that facilitate the effective running of a school, university, college or other educational establishment."
2323/01,2323,01,Educational advisers ,"Education advisers plan, organise and direct the educational activities and resources within a local authority education area."
2323/02,2323,02,School inspectors,"School inspectors visit schools to ensure that the staff perform their tasks compliant with educational rules and regulations, as well as overseeing that the school's administration, premises and equipment conform to regulations. They observe lessons and examine records to assess the school's operation and write reports on their findings. They provide feedback and give advice on improvement. "
2324/00,2324,00,Early education and childcare services managers,"Early education and childcare services managers plan, organise, direct and co-ordinate the administration, support systems and activities that facilitate the effective running of nurseries and early education centres."
2329/01,2329,01,Bursars,"Bursars manage and oversee the financial accounts in educational establishments such as schools and universities. They are responsible for managing tuition and fee structure, financial aid, billing, petty cash and payments."
2329/02,2329,02,Educational administrators,"Education administrators organise and manage the administration, support systems and student activities of education institutions. They perform a range of administrative, secretarial, financial and supportive tasks to ensure the efficient and cost-effective running of the school. They may assist in student recruitment, alumni relations, funding and work on committees including academic boards and quality insurance."
2329/03,2329,03,Examiners and markers,"Examiners and markers assess written, creative, and verbal assignments to gauge whether individuals have understood the material and then presented it well. They decide on a final grade based on these and other criteria."
2329/99,2329,99,Other educational professionals n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2329: Other educational professionals n.e.c.
2411/01,2411,01,Barristers and advocates,Barristers and advocates are specialists in advocacy and represent individuals or organisations in court. They're independent sources of legal advice and can advise clients on their case. This group includes solicitor/lawyer advocates who have completed an additional qualification to gain the same ‘Higher Rights of Audience’ as a barrister. See also 3229/01 - Advocates (excludes solicitor advocates)
2411/02,2411,02,Judges,"Judges preside over, review and handle court cases, hearings, appeals and trials. They ensure that court procedures conform to conventional legal processes and review evidence and juries. Judges preside over cases involving such areas as crime, family issues, civil law, small claims and juvenile offenses."
2411/99,2411,99,Barristers and judges n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2411: Barristers and judges
2412/01,2412,01,Commercial solicitors and lawyers,"Commercial solicitors and lawyers advise business owners on a variety of legal matters, such as managing contracts. They can work with legal teams of large organisations and assist with contract negotiation and review business mergers They may represent clients in court but  for complex disputes they will often instruct barristers or specialist advocates to appear in court on behalf of their clients."
2412/02,2412,02,Criminal solicitors and lawyers,"Criminal solicitors and lawyers provide legal advice to clients and act on their behalf in criminal legal proceedings and in compliance with the law. They research for, interpret and study cases to represent their clients in a variety of settings such as courts and administrative boards. They create arguments on behalf of their clients for lawsuits in different contexts with the aim of finding a legal remedy. They may represent clients in court but  for complex disputes they will often instruct barristers or specialist advocates to appear in court on behalf of their clients."
2412/03,2412,03,Family solicitors and lawyers,"Family solicitors and lawyers provide legal advice to clients and act on their behalf in legal proceedings and in compliance with the law. Family law is made up of three main areas of work: matrimonial, finance and child law. They research for, interpret and study cases to represent their clients in a variety of settings such as courts and administrative boards. They create arguments on behalf of their clients for lawsuits in different contexts with the aim of finding a legal remedy. They may represent clients in court but  for complex disputes they will often instruct barristers or specialist advocates to appear in court on behalf of their clients."
2412/04,2412,04,Property solicitors and lawyers,"Property solicitors and lawyers provide legal advice to clients and act on their behalf in legal proceedings and in compliance with the law. This area of the law mainly involves transactional based work, such as the buying and selling or rental of property, but there is a litigation side. Other related areas of law include landlord and tenant, as well as construction and planning law. They may represent clients in court but for complex disputes they will often instruct barristers or specialist advocates to appear in court on behalf of their clients."
2412/99,2412,99,Solicitors and lawyers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2412: Solicitors and lawyers
2419/01,2419,01,Conveyancers,"Conveyancers provide services for the legal transference of legal titles and properties from one party to another. They exchange the necessary contracts and ensure all properties, titles and rights are transferred."
2419/02,2419,02,Litigation executives,"Litigation executives are qualified lawyers who are trained to specialise as experts in the field of litigation. Litigation executives represent plaintiffs and defendants in civil lawsuits. They manage all phases of the litigation from the investigation, pleadings, and discovery through the pre-trial, trial, settlement and appeal processes."
2419/03,2419,03,Paralegals,"Paralegals work closely together with solicitors, lawyers and clients in the research and preparation of cases brought to courts. They assist in the paperwork of cases and management of the administrative side of court affairs. "
2419/04,2419,04,Patent and trademark attorneys,"Patent attorneys are specially trained in drafting patents and with knowledge of intellectual property law, patent attorneys lead individual inventors or companies through the required process to obtain a patent and then act to enforce inventors' rights if patents are infringed. A trademark attorney is a lawyer who is specifically qualified to advise on trademark law and acts as an agent for the purposes of applying for and obtaining trademark registrations."
2419/99,2419,99,Legal professionals n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2419: Legal professionals n.e.c.
2421/01,2421,01,Auditors (qualified accountant),"Qualified auditors collect and examine financial data for clients, organisations and companies. They examine company accounts, identify any risks to the business, assess the company's financial reporting systems, interview staff to gather evidence, observe business processes, analyse financial data and make recommendations for improvements. "
2421/02,2421,02,Financial accountants (qualified),"Qualified financial accountants handle all tasks related to the budgeting and accounting aspects of a company or organisation. They implement and ensure compliance with internal financial and accounting procedures and prepare documentation for external audits. They collect information related to financial statements such as assets, liabilities, equity and cash flow to assess the company's financial position to prepare annual budgets and forecasts. See also 4122/01 - Accounting clerks and bookkeepers"
2421/03,2421,03,Forensic accountants,"Forensic accountants utilise accountancy skills to investigate financial discrepancies and inaccuracies such as fraudulent activity, financial misrepresentation or misconduct and disputes."
2421/04,2421,04,Fund accountants,Fund accountants organise the fund accounts for the institutions they work for and liaise between organisations and clients.  Fund accounting is an accounting system for recording resources whose use has been limited to a specific purpose and is often used in non-profit or government accounting.
2421/05,2421,05,Insolvency practitoners,"Insolvency Practitioners (IP) are licensed and authorised to act in relation to an insolvent individual, partnership or company. Most IPs are accountants or insolvency specialists working in firms of accountants. The primary function of an IP is to assess the financial position of a company, partnership, individual etc,  they also ensure the smooth process of the companies dissolution. "
2421/99,2421,99,Chartered and certified accountants n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2421: Chartered and certified accountants
2422/01,2422,01,Credit analysts,"Credit analysts gathers and analyses loan applicants' financial data to evaluate risk, assesses creditworthiness of individuals, companies, and institutions and collaborates with other financial experts to approve or deny loans"
2422/02,2422,02,Financial advisers and planners,"Financial advisers and planners assist people dealing with various personal financial issues. They are specialised in financial planning, such as retirement, investment and tax planning and risk management. They advise a strategy tailored to the client's needs."
2422/03,2422,03,Financial analysts,"Financial analysts conduct economic research and produce valuable analysis on financial matters such as profitability, liquidity, solvency and asset management. They provide recommendations on financial matters for decision-making processes. Financial analysts work in both the public and the private sector."
2422/04,2422,04,Mortgage advisers,Mortgage advisers have a wide knowledge of the mortgages available from different lenders. They can search the market on your behalf and recommend the best deal and help apply for mortgages.
2422/99,2422,99,Finance and investment analysts and advisers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2422: Finance and investment analysts and advisers
2423/00,2423,00,Taxation experts,Taxation experts advise on tax matters and assess tax liabilities. They may investigate tax and VAT crime.
2431/01,2431,01,Business analysts and consultants,"Business analysts and consultants research and understand the strategic position of businesses and companies in relation to their markets and their stakeholders. They analyse and present their views on how the company can improve its strategic position and internal corporate structure. They assess needs for change, communication methods, technology, IT tools, new standards and certifications."
2431/02,2431,02,Management advisers and consultants,"Management advisers and consultants help organisations to solve issues, create value, maximise growth and improve business performance. They use their business skills to provide objective advice and expertise. They also help an organisation to develop any required specialist skills."
2431/03,2431,03,Risk analysts,"Risk analyst evaluates financial documents, economic conditions and potential clients to help companies determine the level of risk involved in making a particular business decision."
2431/99,2431,99,Management consultants and business analysts n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2431: Management consultants and business analysts
2432/01,2432,01,Commercial managers,"A commercial manager is responsible for teams working to win new business, to explore new avenues of activity and to seek out opportunities in order to help the company develop and grow. The commercial manager’s main roles include the financial management of projects, negotiating and agreeing contracts and verifying employee performance. They also need to have good risk management skills as well as financial reporting abilities"
2432/02,2432,02,Marketing managers,"Marketing managers work with clients on how to promote products, services or brands and oversee all marketing activity. They create marketing and social media strategies and guidelines and manage a team of marketing executives. They plan and manage the launch of new products and services and set budgets, targets and timelines and may manage communications activities.
"
2432/99,2432,99,Marketing and commercial managers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2432: Marketing and commercial managers
2433/01,2433,01,Actuaries and actuarial analysts ,"Actuaries and actuarial analysts manage and provide guidance on financial impact of risks. They can work in fields related to insurance, pension, investment, banking, healthcare etc. Actuarial consultants apply technical and statistical models and theories to give strategic, commercial and financial advice."
2433/02,2433,02,Economists,"Economists perform research and develop theories in the field of economics, whether for microeconomic or macroeconomic analysis. They study trends, analyse statistical data. They advise on product feasibility, trend forecasts, emerging markets, tax policies and consumer trends."
2433/03,2433,03,Mathematicians ,"Mathematicians study and deepen existing mathematical theories to expand the knowledge and find new patterns or models within the field. They can apply this knowledge to challenges presented in engineering and scientific projects to assure that measurements, quantities and mathematic laws prove their viability."
2433/04,2433,04,Statistical data scientists,"Statistical data scientists find and interpret rich data sources, manage large amounts of data, merge data sources, ensure consistency of data-sets and create visualisations to aid in understanding data. They build mathematical models using data, present and communicate data insights and findings to specialists and scientists."
2433/05,2433,05,Statisticians ,"Statisticians collect, tabulate and analyse quantitative information coming from a variety of fields. They interpret and analyse statistical studies in fields such as health, demographics, finance, business, etc. "
2433/99,2433,99,"Actuaries, economists and statisticians n.e.c.","Job holders in this group perform occupations not elsewhere classified in Unit Group 2433: Actuarial, economists and statisticians"
2434/01,2434,01,Intelligence analysts,"Intelligence analysts help keep the country secure by assessing and interpreting intelligence data. They protect national security and economic wellbeing, as well as detect and prevent serious organised crime, such as terrorist attacks, cybercrime and drug trafficking."
2434/02,2434,02,Researchers in media and entertainment,"Researchers in media and entertainment support producers and production teams for broadcasting, entertainment and journalism projects. The work involves organising, planning and researching everything that will happen during a programme or project. This includes collecting and verifying information, such as who'll be interviewed, the location and budget constraints. They are also responsible for fact-checking, writing briefs for presenters and ensuring that production adheres to the appropriate legislation."
2434/99,2434,99,Business and related research professionals n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 2434: Business and related research professionals
2435/00,2435,00,Professional/chartered company secretaries,"Chartered company secretaries and governance professionals ensure companies conform to relevant legal, statutory and financial requirements and monitors standards of corporate governance. See also 4214/00 - Company secretaries and administrators"
2439/01,2439,01,Policy officers,"Policy officers research, analyse and develop policies in various public sectors. They shape and implement these policies to improve the existing regulation around the sector. They evaluate effects of existing policies and report findings to the government and members of the public. Policy officers work closely with partners, external organisations or other stakeholders and provide them with regular updates."
2439/99,2439,99,"Business, research and administrative professionals n.e.c.","Job holders in this group perform occupations not elsewhere classified in Unit Group 2439: Business, research and administrative professionals n.e.c."
2440/01,2440,01,Business change managers,"Business change managers initiate, document and authorise change processes in a company. In addition, their tasks include the strategic design of organisational development. They justify changes and restructuring, and estimate and report on costs, effects, advantages, and risks."
